"NAME","COLLAPSED_COUNT"
"Jayla",43783
"Lucia",47571
"Lyric",21760
"Mika",3589
"Brielle",44322
"Aubree",46449
"Adalyn",27603
"Braelyn",9846
"Giana",8187
"Juliet",30073
"Arabella",23130
"Brynn",26037
"Cherish",8056
"Gracelyn",13430
"Jemma",5982
"Journey",18486
"Kourtney",11569
"Millie",29598
"Paisley",56946
"Parker",145884
"Skyla",11790
"Charlie",185663
"Hadley",40500
"Adelaide",24953
"Luna",71833
"Mila",71903
"River",47830
"Scarlet",13507
"Ariella",17400
"Cali",20212
"Camila",108181
"Eve",22209
"Keely",8961
"Lola",78715
"Quinn",77472
"Aliya",8547
"Arya",26138
"Danica",12994
"Olive",45132
"Adelynn",12789
"Ally",8353
"Ariah",9304
"Brylee",9582
"Dahlia",13883
"Daphne",35396
"Finley",35379
"Lilyana",8147
"Norah",28458
"Valentina",52306
"Elsa",22321
"Everly",37085
"Elliana",23008
"Henley",5738
"Rory",37477
"Juniper",15773
"Nova",43559
"Ryleigh",32197
"Vivienne",17578
"Gemma",19968
"Lexie",12744
"Maci",19357
"Presley",29486
"Raegan",22071
"Ada",71788
"Adalynn",30027
"Amia",4123
"Charlee",15410
"Dylan",417347
"Emmalyn",7155
"Kallie",9579
"Shiloh",15139
"Kinsley",43383
"Madelynn",16261
"Pearl",104348
"Phoenix",34031
"Addyson",15574
"Aveline",473
"Azalea",7796
"Heaven",27460
"Ophelia",17115
"Sawyer",74059
"Wren",10211
"Raelynn",27747
"Adaline",12752
"Freya",14652
"Harley",61416
"Eloise",58761
"Remington",27657
"Audriana",3448
"Brynlee",18917
"Gracelynn",10905
"Rosalina",2800
"Sloane",18814
"Aurelia",10467
"Elliot",54741
"Emerson",53765
"Maisie",7684
"Raelyn",12439
"Avianna",7329
"Emelia",9165
"Evie",14576
"Lana",52106
"Remi",19381
"Esme",7549
"Willa",25680
"Aviana",6783
"Camilla",21810
"Juliette",30827
"Saylor",10622
"Maeve",21605
"Blake",196405
"Briella",12524
"Lilith",9745
"Margot",16340
"Nola",17915
"Emersyn",17491
"Holland",5114
"Everleigh",16931
"Magnolia",15641
"Rosie",69804
"Blakely",16183
"Frankie",66375
